Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
0-sen Hayato,,5.91,13326,9905,1,TV,38,Finished Airing,"Jan 21, 1964 to Oct 27, 1964",Winter 1964,Unknown,P Productions,"None found, add some","None found, add some",Manga,,15 min. per ep.,PG-13 - Teens 13 or older,2,"Historical, Military",
Akai Kiba: Blue Sonnet,Blue Sonnet,5.91,9782,9907,3,OVA,5,Finished Airing,"Jul 16, 1989 to Jun 25, 1990",,,"Mushi Production,       Nippon Television Network",Central Park Media,Tatsunoko Production,Manga,"Action, Drama, Sci-Fi",29 min. per ep.,R+ - Mild Nudity,2,Super Power,Shoujo
A.D. Police (TV),A.D. Police: To Protect and Serve,5.91,5848,9906,12,TV,12,Finished Airing,"Apr 8, 1999 to Jul 1, 1999",Spring 1999,Thursdays at 01:45 (JST),AIC,ADV Films,Plum,Original,"Action, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,16,"Adult Cast, Mecha",
Arata Kangatari Picture Drama,,5.91,10542,9908,2,Special,6,Finished Airing,"Jun 21, 2013 to Nov 22, 2013",,,Lantis,"None found, add some",Satelight,Manga,Fantasy,13 min. per ep.,PG-13 - Teens 13 or older,5,,
Atagoal wa Neko no Mori,Atagoal - Cat's Magical Forest,5.91,13939,9909,906,Movie,1,Finished Airing,"Oct 14, 2006",,,Digital Frontier,"None found, add some","None found, add some",Unknown,,1 hr. 20 min.,PG - Children,3,Anthropomorphic,Kids
Backkom Specials,,5.91,15807,9910,542,ONA,8,Finished Airing,2007 to 2013,,,"None found, add some","None found, add some",RG Animation Studios,Original,Comedy,49 sec. per ep.,G - All Ages,0,Super Power,Kids
Chokotto Anime Kemono Friends 3,,5.91,11525,9911,1,ONA,26,Finished Airing,"Apr 2, 2019 to Sep 17, 2021",,,"None found, add some","None found, add some","None found, add some",Game,"Adventure, Comedy, Fantasy",1 min. per ep.,PG - Children,2,,
DD Hokuto no Ken 2 Ichigo Aji+,DD Fist of the North Star 2: Strawberry Flavor Plus,5.91,9380,9912,3,TV,12,Finished Airing,"Oct 7, 2015 to Dec 23, 2015",Fall 2015,Wednesdays at 01:35 (JST),"None found, add some","None found, add some",Ajia-do,Manga,Comedy,23 min. per ep.,PG-13 - Teens 13 or older,1,"Parody, School",Seinen
Divergence Eve,,5.91,5703,9913,13,TV,13,Finished Airing,"Jul 2, 2003 to Sep 24, 2003",Summer 2003,Wednesdays at 10:00 (JST),"Media Factory,       Imagica,       KlockWorx","ADV Films,       Sentai Filmworks",Radix,Original,"Adventure, Drama, Sci-Fi",24 min. per ep.,R+ - Mild Nudity,14,"Mecha, Military, Space",
Futari Daka,,5.91,12334,9914,1,TV,36,Finished Airing,"Sep 20, 1984 to Jul 12, 1985",Fall 1984,Unknown,Fuji TV,"None found, add some",Kokusai Eigasha,Manga,,25 min. per ep.,G - All Ages,2,Racing,Shounen
Futari no Oujisama,The Two Princes,5.91,16218,9915,497,Movie,1,Finished Airing,"Jul 12, 1996",,,Shinano Kikaku,"None found, add some",Toei Animation,Unknown,"Fantasy, Slice of Life",26 min.,G - All Ages,0,,
Hello Kitty no Yume no Oshiro no Oujisama,Hello Kitty in The Prince in His Dream Castle,5.91,16103,9917,511,OVA,1,Finished Airing,"Feb 21, 1994",,,Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,30 min.,G - All Ages,0,,Kids
Gegege no Kitarou: Kitarou Tanjou-hen,,5.91,15654,9916,561,TV Special,1,Finished Airing,1980,,,"None found, add some","None found, add some",Toei Animation,Manga,Supernatural,3 min.,G - All Ages,0,,
Hong Ling Jin Xia,,5.91,15981,9919,524,ONA,1,Finished Airing,"Sep 27, 2010",,,"None found, add some","None found, add some","None found, add some",Original,Action,4 min.,PG - Children,0,School,
Holy Knight,,5.91,3400,9918,43,OVA,2,Finished Airing,"Mar 21, 2012 to May 25, 2012",,,Cammot,Media Blasters,Lilix,Manga,"Fantasy, Ecchi",28 min. per ep.,R+ - Mild Nudity,50,"School, Vampire",Seinen
Juugo Shounen Hyouryuuki,Adrift in the Pacific,5.91,13781,9921,955,TV Special,1,Finished Airing,"Aug 22, 1982",,,"None found, add some","None found, add some",Toei Animation,Novel,"Adventure, Drama",1 hr. 3 min.,G - All Ages,0,Historical,
Hoshi Neko Fullhouse,Star Cat Fullhouse,5.91,11620,9920,1,OVA,4,Finished Airing,"Jun 16, 1989 to Dec 25, 1989",,,Walkers Company,"None found, add some",Artland,Original,"Comedy, Romance, Sci-Fi",30 min. per ep.,R+ - Mild Nudity,4,,
Kami wa Game ni Ueteiru.,Gods' Game We Play,5.91,2823,9922,61,TV,13,Currently Airing,"Apr 1, 2024 to Jun 24, 2024",Spring 2024,Mondays at 21:30 (JST),"Pony Canyon,       AT-X,       Ultra Super Pictures,       Sammy,       bilibili,       Crunchyroll,       Kadokawa,       Bit grooove promotion","None found, add some",LIDENFILMS,Light novel,"Fantasy, Suspense, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,197,"High Stakes Game, Strategy Game",
Kamisama Dolls Specials,,5.91,7505,9923,6,Special,6,Finished Airing,"Sep 21, 2011 to Feb 22, 2012",,,"None found, add some",Sentai Filmworks,Brain's Base,Manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,1,,
Kerokero Keroppi no Aladdin to Mahou no Lamp,Keroppi in Aladdin and the Magic Lamp,5.91,16316,9924,486,OVA,1,Finished Airing,"Nov 23, 2001",,,Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,15 min.,G - All Ages,0,,Kids
Kimi wa Kanata,Over the Sky,5.91,2608,9925,70,Movie,1,Finished Airing,"Nov 27, 2020",,,CUCURI,"None found, add some",Saber Works,Original,"Drama, Fantasy",1 hr. 35 min.,PG-13 - Teens 13 or older,184,Isekai,
Lei Su Deng Shandian Chong Xian 2,Flash & Dash 2,5.90,16027,9985,519,TV,40,Finished Airing,2010,?,Unknown,Alpha Group Co. Ltd.,"None found, add some",Alpha Animation,Original,,24 min. per ep.,G - All Ages,0,Racing,Kids
Marine Snow no Densetsu,The Legend of Marine Snow,5.91,12825,9926,1,TV Special,1,Finished Airing,"Aug 12, 1980",,,"None found, add some","None found, add some","None found, add some",Unknown,Sci-Fi,1 hr. 34 min.,G - All Ages,1,,
Meitantei Conan: Jomon Taiken Yatte Miyou!,Detective Conan: Let's Experience the Jomon Period!,5.91,10919,9927,2,OVA,1,Finished Airing,"Jun 25, 1999",,,"None found, add some","None found, add some","None found, add some",Manga,,15 min.,PG-13 - Teens 13 or older,1,Historical,Kids
Mijikamon Episode 0,,5.91,9214,9928,4,ONA,1,Finished Airing,"Mar 7, 2014",,,"None found, add some","None found, add some",Kinema Citrus,Manga,Comedy,2 min.,G - All Ages,0,,
Neko to Wakai se na,,5.91,13385,9930,1,ONA,1,Finished Airing,"Mar 22, 2023",,,TOHO animation,"None found, add some","None found, add some",Original,Slice of Life,5 min.,PG-13 - Teens 13 or older,0,,
Neko Ramen: Ore no Shouyu Aji,,5.91,14817,9929,694,ONA,13,Finished Airing,2008,,,Think Corporation,"None found, add some","None found, add some",4-koma manga,"Comedy, Gourmet",2 min. per ep.,G - All Ages,1,"Anthropomorphic, Gag Humor, Workplace",
Parol no Miraijima,Paroru's Future Island,5.91,9995,9931,3,Movie,1,Finished Airing,"Mar 1, 2014",,,"None found, add some","None found, add some",Shin-Ei Animation,Original,"Action, Adventure, Fantasy",26 min.,PG - Children,0,,
Porong Porong Pororo,,5.91,13447,9932,1,TV,52,Finished Airing,"Nov 27, 2003 to May 18, 2004",Fall 2003,Unknown,EBS,"None found, add some","None found, add some",Original,,5 min. per ep.,G - All Ages,3,,Kids
Samurai Girl Real Bout High School,,5.91,6232,9934,10,TV,13,Finished Airing,"Jul 30, 2001 to Oct 22, 2001",Summer 2001,Unknown,"None found, add some",Tokyopop,Gonzo,Light novel,"Action, Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,10,"Martial Arts, School",
Santa Tell Me,,5.91,19625,9935,247,ONA,1,Finished Airing,"Dec 5, 2023",,,"None found, add some","None found, add some",Doga Kobo,Music,,35 sec.,G - All Ages,0,Music,
Project Scard: Praeter no Kizu,Scar on the Praeter,5.91,3820,9933,34,TV,13,Finished Airing,"Jan 9, 2021 to Apr 3, 2021",Winter 2021,Saturdays at 01:55 (JST),"Frontier Works,       Glovision",Funimation,GoHands,Mixed media,Action,23 min. per ep.,PG-13 - Teens 13 or older,140,Super Power,
Shounen Sarutobi Sasuke,The Adventures of Little Samurai,5.91,10821,9936,2,Movie,1,Finished Airing,"Dec 25, 1959",,,"None found, add some","None found, add some",Toei Animation,Original,"Adventure, Fantasy",1 hr. 22 min.,PG - Children,5,,
Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix,,5.91,16192,9939,500,Movie,1,Finished Airing,"Jul 10, 2010",,,"None found, add some","None found, add some",TMS Entertainment,Unknown,Fantasy,20 min.,PG - Children,0,Racing,Kids
Sore Ike! Anpanman: Happy no Daibouken,Anpanman: The Adventure of Happie,5.91,16327,9938,486,Movie,1,Finished Airing,"Jul 16, 2005",,,"None found, add some","None found, add some",TMS Entertainment,Unknown,Comedy,51 min.,PG - Children,0,,Kids
Soliton no Akuma,The Wave of Rage,5.91,13248,9937,1,Movie,1,Finished Airing,1997,,,Toho Music,"None found, add some",Triangle Staff,Novel,"Drama, Sci-Fi",1 hr. 30 min.,R - 17+ (violence & profanity),0,Military,
Suzy's Zoo: Daisuki! Witzy,,5.91,14596,9940,748,TV,25,Finished Airing,"Apr 3, 2011 to Oct 4, 2011",Spring 2011,Unknown,TBS,"None found, add some",Digital Media Lab,Other,,2 min. per ep.,G - All Ages,1,,Kids
