Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Demographics,Duration,Rating,Favorites,Genres,Themes,Premiered,Broadcast
Usagi to Kame,,5.25,12066,12270,1,Movie,1,Finished Airing,1924,"None found, add some","None found, add some","None found, add some",Other,,9 min.,G - All Ages,3,Fantasy,,,
Yoshimaho,Yoshi Yoshi Magic,5.25,9863,12271,3,ONA,15,Finished Airing,"Jul 1, 2021 to Jan 13, 2022","None found, add some","None found, add some",DLE,Mixed media,,1 min. per ep.,PG-13 - Teens 13 or older,16,"Fantasy, Slice of Life","Childcare, Isekai",,
Taberu Hito-tachi,People who are eating,5.24,17262,12273,404,Movie,1,Finished Airing,2012,Geidai Animation,"None found, add some","None found, add some",Original,,3 min.,G - All Ages,0,Slice of Life,,,
Star Wars/Force no Kakusei,Star Wars: The Force Awakens,5.24,13250,12272,1,ONA,1,Finished Airing,"Dec 15, 2017","None found, add some","None found, add some","None found, add some",Other,,1 min.,G - All Ages,1,Sci-Fi,,,
Timing,,5.24,13565,12274,1,ONA,1,Finished Airing,Oct 2010,Studio Kuma,"None found, add some","None found, add some",Other,,6 min.,R - 17+ (violence & profanity),0,Horror,Psychological,,
Yellow Fish,,5.24,18037,12276,345,Movie,1,Finished Airing,Apr 1998,"None found, add some","None found, add some","None found, add some",Original,,3 min.,R+ - Mild Nudity,0,Avant Garde,,,
Tora-chan no Kankan Mushi,,5.24,13476,12275,1,Movie,1,Finished Airing,1950,"None found, add some","None found, add some","None found, add some",Original,,10 min.,G - All Ages,0,Drama,,,
Zenryoku Yobikou 5.5 Seminar Prologue,,5.24,17514,12277,385,ONA,1,Finished Airing,"Jul 20, 2015","None found, add some","None found, add some","None found, add some",Other,,2 min.,PG-13 - Teens 13 or older,0,Comedy,"Parody, School",,
Afro-Ken,,5.24,9559,12278,3,OVA,1,Finished Airing,"Jun 25, 2001","Sunrise,       San-X","None found, add some","None found, add some",Other,Kids,28 min.,G - All Ages,16,Comedy,,,
Explorer Woman Ray,,5.24,11231,12279,2,OVA,2,Finished Airing,"May 26, 1989 to Jun 23, 1989",Toshiba EMI,"None found, add some","AIC,       animate Film",Unknown,,30 min. per ep.,PG-13 - Teens 13 or older,1,"Action, Adventure",,,
Gunners,,5.24,17830,12280,361,ONA,1,Finished Airing,2011,"None found, add some","None found, add some","None found, add some",Manga,,1 min.,PG-13 - Teens 13 or older,0,Action,Mecha,,
Hatoya,,5.24,17050,12281,420,ONA,1,Finished Airing,"Mar 28, 2012","None found, add some","None found, add some","None found, add some",Other,,2 min.,G - All Ages,0,Avant Garde,Music,,
Kanzen Shouri Daiteiou,,5.24,14008,12282,889,OVA,1,Finished Airing,"Dec 22, 2001","None found, add some","None found, add some",Sunrise,Original,Kids,7 min.,PG - Children,1,"Action, Adventure, Sci-Fi",Mecha,,
Kissaten Soudou,,5.24,18514,12283,312,ONA,1,Finished Airing,"Oct 8, 2009","None found, add some","None found, add some","None found, add some",Other,,9 min.,G - All Ages,0,Comedy,,,
Nakano Harada Kekkon Kyousoukyoku,,5.24,19100,12284,276,Special,1,Finished Airing,"Mar 17, 2014","None found, add some","None found, add some","None found, add some",Original,,3 min.,G - All Ages,0,,Music,,
Nipple!!,,5.24,19623,12286,247,Movie,1,Finished Airing,Aug 2009,"None found, add some","None found, add some","None found, add some",Original,,36 sec.,R+ - Mild Nudity,1,Comedy,,,
Netrun-mon the Movie,,5.24,10606,12285,2,OVA,1,Finished Airing,"Nov 24, 2004","None found, add some","None found, add some",Studio Hibari,Original,,29 min.,PG-13 - Teens 13 or older,11,"Comedy, Fantasy, Ecchi",Mahou Shoujo,,
Oira Sukeban,,5.24,10753,12287,2,OVA,1,Finished Airing,"Aug 21, 1992",Dynamic Planning,ADV Films,Studio Signal,Manga,,43 min.,PG-13 - Teens 13 or older,2,"Comedy, Ecchi","Crossdressing, Delinquents, School",,
Peeping Life: The Perfect Emotion Special,,5.24,14979,12288,669,Special,1,Finished Airing,"Apr 16, 2010",CoMix Wave Films,"None found, add some","None found, add some",Original,,5 min.,G - All Ages,0,"Comedy, Slice of Life",,,
Psychic Force,,5.24,10334,12289,2,OVA,2,Finished Airing,"May 25, 1998","None found, add some","None found, add some",Triangle Staff,Game,,31 min. per ep.,PG-13 - Teens 13 or older,3,"Action, Sci-Fi",Super Power,,
Seishain Cyborg 003,,5.24,13921,12290,912,ONA,2,Finished Airing,"Jan 10, 2012",Steve N' Steven,"None found, add some",Production I.G,Manga,,15 sec. per ep.,G - All Ages,0,Comedy,,,
Kana Kana Kazoku: Rika in Wonderland,,5.23,17317,12291,399,ONA,1,Finished Airing,"Nov 12, 2014","None found, add some","None found, add some","None found, add some",Original,,4 min.,G - All Ages,0,Comedy,,,
Lightning Trap: Leina & Laika,,5.23,12316,12292,1,OVA,1,Finished Airing,"May 23, 1990",Youmex,Discotek Media,Ashi Productions,Original,,27 min.,PG-13 - Teens 13 or older,0,"Action, Sci-Fi",,,
Norakuro Ittouhei,,5.23,15871,12294,536,Movie,1,Finished Airing,1935,The National Film Center Japan,"None found, add some","None found, add some",Manga,Kids,10 min.,G - All Ages,1,,,,
Mutant Turtles: Choujin Densetsu-hen,,5.23,9835,12293,3,OVA,2,Finished Airing,"May 21, 1996",Nippon Columbia,"None found, add some","Bee Media,       Tsuburaya Productions",Other,,28 min. per ep.,G - All Ages,11,"Action, Adventure, Comedy, Sci-Fi","Anthropomorphic, Martial Arts, Super Power",,
Pikotarou no Lullaby Lullaby,Pikotaro's Lullaby La La By (Web),5.23,11211,12295,2,ONA,3,Finished Airing,"Jul 17, 2017 to Jul 26, 2017","None found, add some","None found, add some",DLE,Original,,2 min. per ep.,G - All Ages,4,Comedy,Parody,,
Robot King,The Cosmos Conqueror,5.23,17347,12296,398,Movie,1,Finished Airing,1981,"None found, add some","None found, add some","None found, add some",Unknown,,1 hr. 5 min.,None,0,Action,Mecha,,
Samchongsa: Time Machine 001,,5.23,16370,12297,481,Movie,1,Finished Airing,"Jan 12, 1980",Sunwoo Entertainment,"None found, add some","None found, add some",Unknown,,1 hr. 11 min.,PG - Children,0,"Adventure, Sci-Fi",,,
Si Ling Bianma: Shijie Caozong Zhe,Order Designer,5.23,11192,12299,2,ONA,12,Finished Airing,"Dec 19, 2013 to Jun 4, 2014","bilibili,       Yaoqi","None found, add some",Foch Films,Original,,9 min. per ep.,R - 17+ (violence & profanity),0,"Fantasy, Horror, Mystery","Parody, Psychological, Video Game",,
Seijuuki Cyguard,Cybernetics Guardian,5.23,8342,12298,5,OVA,1,Finished Airing,"Nov 1, 1989","None found, add some",Central Park Media,AIC,Original,,43 min.,R - 17+ (violence & profanity),3,"Sci-Fi, Supernatural",Mecha,,
Bloody Date,,4.24,9040,13197,4,ONA,1,Finished Airing,"Nov 29, 2006","None found, add some","None found, add some","None found, add some",Original,,5 min.,R - 17+ (violence & profanity),0,Horror,,,
Usalullaby,,4.55,14436,13100,787,Movie,1,Finished Airing,2013,Geidai Animation,"None found, add some","None found, add some",Original,,5 min.,G - All Ages,0,Avant Garde,,,
Hustle!! Tokitama-kun,Tokitama Hustle,4.15,13988,13216,895,Special,1,Finished Airing,1998,"None found, add some","None found, add some","None found, add some",Original,,4 min.,PG-13 - Teens 13 or older,0,Avant Garde,,,
