Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Genres,Demographics
Mizushiri Yoriko no Yorinuki Yoriko-san,,5.14,19490,12474,255,Movie,7,Finished Airing,2009,"None found, add some","None found, add some","None found, add some",Original,,41 sec. per ep.,G - All Ages,0,,,Avant Garde,
Murder,,5.14,10924,12475,2,Movie,1,Finished Airing,1964,"None found, add some","None found, add some","None found, add some",Original,"Parody, Vampire",9 min.,PG-13 - Teens 13 or older,2,,,"Award Winning, Mystery",
Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,Government Crime Investigation Agent Zaizen Jotaro,5.14,11100,12476,2,TV,11,Finished Airing,"Jul 6, 2006 to Sep 21, 2006","TV Asahi,       Universal Pictures Japan","None found, add some",Trans Arts,Manga,Detective,24 min. per ep.,R - 17+ (violence & profanity),3,Summer 2006,Thursdays at 02:40 (JST),"Action, Drama",Seinen
Nougyou Musume!,,5.14,11811,12477,1,Special,1,Finished Airing,"Oct 7, 2010","None found, add some","None found, add some",Toei Animation,4-koma manga,,3 min.,G - All Ages,0,,,Comedy,
Pastel Memories,,5.14,4832,12478,20,TV,12,Finished Airing,"Jan 8, 2019 to Mar 26, 2019","MAGES.,       FuRyu",Sentai Filmworks,Project No.9,Game,Otaku Culture,24 min. per ep.,PG-13 - Teens 13 or older,17,Winter 2019,Tuesdays at 00:30 (JST),"Action, Adventure, Sci-Fi",
Prison Lab,,5.14,8745,12479,4,ONA,20,Finished Airing,"Dec 28, 2018",Anime Beans,"None found, add some","None found, add some",Manga,Psychological,1 min. per ep.,R - 17+ (violence & profanity),11,,,Horror,
Sakana no Kuni,The Nation of Fish,5.14,15456,12480,590,Movie,1,Finished Airing,1928,"None found, add some","None found, add some","None found, add some",Unknown,Military,15 min.,G - All Ages,0,,,,
Shoujouji no Tanuki-bayashi Ban Danemon,Danemon's Monster Hunt at Shojoji,5.14,12197,12481,1,Movie,1,Finished Airing,1935,"None found, add some","None found, add some","None found, add some",Original,,9 min.,G - All Ages,1,,,Supernatural,
Super Mario no Shouboutai,Super Mario's Fire Brigade,5.14,13892,12482,924,OVA,1,Finished Airing,1989,"None found, add some","None found, add some","Toei Animation,       Studio Junio",Game,Educational,9 min.,G - All Ages,2,,,,Kids
W-Tails Cat: A Strange Presence,,5.14,14711,12483,718,ONA,7,Finished Airing,"May 7, 2013 to Oct 24, 2013","None found, add some","None found, add some","None found, add some",Other,"Detective, Mecha, Military",5 min. per ep.,PG-13 - Teens 13 or older,2,,,"Action, Sci-Fi",
Chiryokumaru,,5.14,10832,12484,2,ONA,1,Finished Airing,"Nov 1, 2016","None found, add some","None found, add some",Studio 4°C,Original,,2 min.,PG-13 - Teens 13 or older,0,,,Action,
Chou Futsuu Ken Chiba Densetsu,,5.14,8558,12485,5,TV,13,Finished Airing,"Jan 5, 2024 to Mar 29, 2024",Kadokawa,"None found, add some",Super Normal Studio,Original,,4 min. per ep.,PG-13 - Teens 13 or older,10,Winter 2024,Fridays at 21:54 (JST),"Comedy, Fantasy",
Digital Devil Story: Megami Tensei,,5.14,6624,12486,9,OVA,1,Finished Airing,"Mar 25, 1987","Movic,       Tokuma Shoten,       Tokuma Japan","None found, add some",animate Film,Light novel,"Mythology, Psychological, School",45 min.,R - 17+ (violence & profanity),15,,,"Adventure, Drama, Fantasy, Horror, Mystery, Supernatural",
Hentatsu (TV) Recap,,5.14,13978,12488,902,TV Special,1,Finished Airing,"Mar 28, 2020","None found, add some","None found, add some",Yaoyorozu,Original,,1 min.,G - All Ages,0,,,"Adventure, Mystery",
Hyper-Psychic Geo Garaga,Garaga,5.14,11039,12489,2,Movie,1,Finished Airing,"Oct 21, 1989",Asmik Ace,Central Park Media,"Anime R,       Aubec",Manga,,1 hr. 40 min.,R - 17+ (violence & profanity),3,,,"Action, Adventure, Sci-Fi",
Hantsu x Trash,Sexy and Stupid Water Polo Comedy!!,5.14,4396,12487,25,OVA,3,Finished Airing,"Oct 6, 2015 to Nov 4, 2016","None found, add some","None found, add some",Hoods Entertainment,Manga,"School, Team Sports",12 min. per ep.,R+ - Mild Nudity,59,,,"Comedy, Romance, Sports, Ecchi",Seinen
Ai wa KAT-TUN,,5.13,10572,12490,2,ONA,5,Finished Airing,"Jan 13, 2012","None found, add some","None found, add some","None found, add some",Other,,53 sec. per ep.,G - All Ages,9,,,Comedy,
Chainsaw Bunny,,5.13,9330,12491,3,ONA,1,Finished Airing,"Aug 1, 2018","None found, add some","None found, add some","None found, add some",Original,,6 min.,R+ - Mild Nudity,9,,,"Comedy, Horror, Supernatural, Suspense",
Choujigen Kakumei Anime: Dimension High School,,5.13,6544,12492,9,TV,11,Finished Airing,"Jan 10, 2019 to Mar 21, 2019","Polygon Pictures,       Polygon Magic",Sentai Filmworks,Asmik Ace,Original,School,10 min. per ep.,PG-13 - Teens 13 or older,16,Winter 2019,Thursdays at 22:00 (JST),Fantasy,
Choujin Locke Special,,5.13,15206,12493,628,Special,1,Finished Airing,1979,"None found, add some","None found, add some","None found, add some",Manga,Super Power,10 min.,PG-13 - Teens 13 or older,0,,,"Action, Sci-Fi",
Enkinhou no Hako: Hakase no Sagashimono,The Researcher's Search - Perspectivenbox,5.13,12499,12494,1,Movie,1,Finished Airing,1990,"None found, add some","None found, add some","Yamamura Animation, Inc.",Original,,4 min.,G - All Ages,2,,,Slice of Life,
Fairy Ngoo,,5.13,10802,12495,2,ONA,4,Finished Airing,"Apr 10, 2019 to May 1, 2019","None found, add some","None found, add some",TOHO animation,Original,"Music, Mythology",2 min. per ep.,PG-13 - Teens 13 or older,2,,,"Comedy, Fantasy, Supernatural",
Highway Jenny,,5.13,12086,12497,1,OVA,1,Finished Airing,"Sep 27, 2006","None found, add some","None found, add some",Toei Animation,Original,,28 min.,PG-13 - Teens 13 or older,1,,,Fantasy,
Flaglia: Natsuyasumi no Monogatari,,5.13,8801,12496,4,TV,6,Finished Airing,"Jan 17, 2023 to Jan 31, 2023","None found, add some","None found, add some",Gaina,Mixed media,,13 min. per ep.,PG-13 - Teens 13 or older,36,Winter 2023,Tuesdays at 01:35 (JST),Fantasy,
Komachi to Dangorou,,5.13,14230,12498,838,ONA,4,Finished Airing,"Nov 10, 2012 to Oct 28, 2015",Solid Vox,"None found, add some","MAPPA,       Husio Studio",Original,,8 min. per ep.,PG - Children,0,,,"Adventure, Comedy, Sci-Fi",Kids
Mormorando,,5.13,14948,12499,674,Movie,1,Finished Airing,"Sep 16, 2014","None found, add some","None found, add some","None found, add some",Original,,4 min.,G - All Ages,0,,,,
Nineko Gelée,Runnin' Away Gelée,5.13,14262,12500,828,ONA,1,Finished Airing,"Oct 25, 2016","None found, add some","None found, add some",DLE,Original,Music,6 min.,PG-13 - Teens 13 or older,2,,,"Avant Garde, Fantasy, Horror",
Super Mario World: Mario to Yoshi no Bouken Land,,5.18,11761,12401,1,OVA,1,Finished Airing,1991,Bandai,"None found, add some","None found, add some",Game,Video Game,27 min.,G - All Ages,6,,,Comedy,Kids
Zo Zo Zo Zombie-kun,,5.18,15817,12402,543,ONA,2,Finished Airing,"Mar 18, 2017 to Mar 25, 2017","None found, add some","None found, add some","None found, add some",Manga,,3 min. per ep.,PG - Children,1,,,Comedy,Kids
Against,,5.18,14707,12403,719,ONA,1,Finished Airing,"Apr 14, 2013","None found, add some","None found, add some","None found, add some",Original,,16 sec.,G - All Ages,0,,,"Avant Garde, Fantasy",
Alice in Deadly School,,5.18,4956,12404,19,OVA,1,Finished Airing,"Mar 3, 2021","None found, add some",Funimation,Hoods Entertainment,Other,School,41 min.,PG-13 - Teens 13 or older,15,,,,
Alps no Shoujo Heidi Pilot,,5.18,12723,12405,1,Special,1,Finished Airing,1967,TCJ,"None found, add some","None found, add some",Book,,5 min.,G - All Ages,0,,,"Comedy, Drama",
Amakage,,5.18,15501,12406,584,ONA,1,Finished Airing,"May 5, 2012","None found, add some","None found, add some","None found, add some",Original,Music,3 min.,G - All Ages,0,,,Fantasy,
Asunal Kanayama,,5.18,17088,12407,417,Special,2,Finished Airing,"Jun 3, 2013 to Apr 6, 2015","None found, add some","None found, add some","None found, add some",Original,,15 sec. per ep.,G - All Ages,0,,,Slice of Life,
Atama,,5.18,17977,12408,349,Special,1,Finished Airing,1994,"None found, add some","None found, add some","None found, add some",Original,"Gore, Psychological",23 sec.,R - 17+ (violence & profanity),0,,,"Avant Garde, Horror, Suspense",
Chou Shounen Tanteidan Neo,,5.18,10450,12409,2,TV,13,Finished Airing,"Jan 2, 2017 to Mar 27, 2017",Tokyo MX,"None found, add some",DLE,Novel,,4 min. per ep.,PG-13 - Teens 13 or older,2,Winter 2017,Mondays at 21:55 (JST),Mystery,
Fojiao Donghua: Dashi Zhi Pusa Nianfo Yuantong Zhang,Maha-Stamaprapta Bodhisattva's Preachment on Being Mindful of the Buddha,5.18,18507,12411,313,Special,1,Finished Airing,2012,"None found, add some","None found, add some","None found, add some",Other,,6 min.,G - All Ages,1,,,Drama,
Ganbare! Memeko-chan,,5.18,16484,12412,470,OVA,1,Finished Airing,"Aug 19, 2008",Takeshobo,"None found, add some",Studio Moriken,4-koma manga,,7 min.,G - All Ages,0,,,"Comedy, Slice of Life",Seinen
