,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Genres,Demographics,Premiered,Broadcast
91,Machine Robo: Cronos no Dai Gyakushuu,Machine Robo: Revenge of Cronos,6.29,10599,7996,2,TV,47,Finished Airing,"Jul 3, 1986 to May 28, 1987","None found, add some","Central Park Media,       Discotek Media",Ashi Productions,Original,"Martial Arts, Mecha, Space",24 min. per ep.,PG-13 - Teens 13 or older,2,"Action, Sci-Fi",,Summer 1986,Unknown
92,Macross II: Lovers Again,,6.29,5694,7997,13,OVA,6,Finished Airing,"May 21, 1992 to Nov 21, 1992","Bandai Visual,       Mainichi Broadcasting System,       Big West,       Hero Communication,       Shogakukan,       ONIRO,       Hero","AnimEigo,       Manga Entertainment",AIC,Original,"Mecha, Military, Space",24 min. per ep.,PG-13 - Teens 13 or older,27,"Action, Adventure, Sci-Fi",,,
93,Mahou no Mako-chan,,6.29,10816,7998,2,TV,48,Finished Airing,"Nov 2, 1970 to Sep 27, 1971","None found, add some","None found, add some",Toei Animation,Original,,24 min. per ep.,G - All Ages,3,"Fantasy, Romance",,Fall 1970,Unknown
94,Man Tou Riji,,6.29,15374,7999,603,ONA,10,Finished Airing,"Dec 25, 2013 to Oct 21, 2014",Yaoqi,"None found, add some","Haoliners Animation League,       LAN Studio",Web manga,,7 min. per ep.,G - All Ages,2,Slice of Life,,,
95,Ningen Kousaten,Human Crossing,6.29,9066,8000,4,TV,13,Finished Airing,"Apr 6, 2003 to Jun 29, 2003","TV Tokyo,       Shogakukan-Shueisha Productions,       OB Planning","Maiden Japan,       Geneon Entertainment USA",A.C.G.T.,Manga,,24 min. per ep.,PG-13 - Teens 13 or older,3,"Drama, Slice of Life",Seinen,Spring 2003,Sundays at 00:55 (JST)
96,Appleseed XIII,,6.28,5546,8051,14,OVA,13,Finished Airing,"Jun 3, 2011 to Jan 25, 2012",Welz Animation Studios,Funimation,"Production I.G,       Jinnis Animation Studios",Original,"Mecha, Military",22 min. per ep.,R - 17+ (violence & profanity),13,"Action, Sci-Fi",,,
97,Appleseed XIII Remix Movie 2: Yogen,,6.28,8751,8052,4,Movie,1,Finished Airing,"Oct 24, 2011","None found, add some",Funimation,"Production I.G,       Jinnis Animation Studios",Original,"Detective, Mecha, Military",1 hr. 24 min.,R - 17+ (violence & profanity),3,"Action, Mystery, Sci-Fi",,,
98,Beyblade Burst Dynamite Battle,Beyblade Burst QuadDrive,6.28,8811,8053,4,ONA,52,Finished Airing,"Apr 2, 2021 to Mar 18, 2022",ADK Emotions,ADK Emotions NY Inc.,OLM,Manga,,12 min. per ep.,G - All Ages,32,"Action, Adventure, Comedy, Mystery",Kids,,
99,Boku wa Robot-goshi no Kimi ni Koi wo Suru,I fall in love with you through a robot,6.28,8519,8056,5,Special,1,Finished Airing,"Oct 21, 2017",Kawade Shobo Shinsha,"None found, add some",A-1 Pictures,Novel,,1 min.,PG-13 - Teens 13 or older,5,"Romance, Sci-Fi",,,
100,Boku no Marie,My Dear Marie,6.28,8050,8055,5,OVA,3,Finished Airing,"Mar 6, 1996 to Aug 21, 1996","None found, add some",ADV Films,Pierrot,Manga,,28 min. per ep.,R+ - Mild Nudity,13,"Comedy, Romance, Sci-Fi, Ecchi",Seinen,,
101,Blade Runner: Black Lotus,,6.28,4405,8054,25,TV,13,Finished Airing,"Nov 14, 2021 to Feb 5, 2022","None found, add some",Crunchyroll,Sola Digital Arts,Other,,23 min. per ep.,R - 17+ (violence & profanity),99,"Sci-Fi, Suspense",,Fall 2021,Sundays at 14:00 (JST)
102,Boukyaku no Senritsu,The Melody of Oblivion,6.28,4970,8057,19,TV,24,Finished Airing,"Apr 7, 2004 to Sep 22, 2004","Gainax,       Kadokawa Shoten,       TBS,       KENMedia",Geneon Entertainment USA,J.C.Staff,Manga,"Mecha, Psychological, Space, Super Power",23 min. per ep.,PG-13 - Teens 13 or older,40,"Action, Adventure, Fantasy, Horror, Sci-Fi",Shounen,Spring 2004,Wednesdays at 02:54 (JST)
103,Cinderella Girls Gekijou: Kayou Cinderella Theater 4th Season,THE IDOLM@STER CINDERELLA GIRLS Theater (Web) 4th Season,6.28,10229,8059,2,ONA,7,Finished Airing,"Apr 2, 2019 to Jun 25, 2019","None found, add some","None found, add some","Gathering,       Lesprit",4-koma manga,,1 min. per ep.,PG-13 - Teens 13 or older,0,"Comedy, Slice of Life",,,
104,Catch! Tiniping,Catch! Teenieping: Fairies of Emotion,6.28,16264,8058,492,TV,52,Finished Airing,"Mar 19, 2020 to Apr 1, 2021","None found, add some","None found, add some",SAMG Entertainment,Original,"Mahou Shoujo, School",11 min. per ep.,PG - Children,4,Fantasy,Kids,Spring 2020,Unknown
105,Fuuma no Kojirou: Seiken Sensou-hen,,6.28,11139,8060,2,OVA,6,Finished Airing,"Sep 21, 1990 to Dec 1, 1990",Movic,"None found, add some",animate Film,Manga,Martial Arts,25 min. per ep.,R - 17+ (violence & profanity),3,"Action, Fantasy",Shounen,,
106,Geobreeders: File-X Chibi Neko Dakkan,Geobreeders: (File-X) Get Back The Kitty,6.28,9189,8061,4,OVA,3,Finished Airing,"May 21, 1998 to Oct 21, 1998",Victor Entertainment,Central Park Media,Chaos Project,Manga,,30 min. per ep.,R+ - Mild Nudity,7,"Adventure, Comedy, Supernatural",Seinen,,
107,Haiyoru! Nyaruani,,6.28,4015,8062,31,OVA,9,Finished Airing,"Mar 17, 2010",SoftBank Creative,"None found, add some",DLE,Light novel,Parody,2 min. per ep.,PG-13 - Teens 13 or older,22,"Comedy, Sci-Fi",,,
108,Hajimete no Gal,My First Girlfriend is a Gal,6.28,407,8063,547,TV,10,Finished Airing,"Jul 12, 2017 to Sep 13, 2017","AT-X,       KlockWorx,       Toranoana,       MAGES.,       Glovision,       Kadokawa Media House,       Sun TV,       Kanetsu Investment,       Kadokawa",Funimation,NAZ,Manga,"Harem, School",23 min. per ep.,PG-13 - Teens 13 or older,"1,689","Comedy, Romance, Ecchi",Shounen,Summer 2017,Wednesdays at 23:00 (JST)
109,Hidamari Sketch x ☆☆☆ Recap,,6.28,12281,8064,1,Special,1,Finished Airing,"Sep 26, 2012",Aniplex,"None found, add some",Shaft,4-koma manga,"CGDCT, Iyashikei, School, Visual Arts",1 hr. 7 min.,PG-13 - Teens 13 or older,0,Slice of Life,,,
110,Honey Honey no Suteki na Bouken,Honey Honey's Wonderful Adventures,6.28,12335,8065,1,TV,29,Finished Airing,"Oct 7, 1981 to May 1, 1982",Kokusai Eigasha,"None found, add some","None found, add some",Manga,Historical,24 min. per ep.,G - All Ages,5,Adventure,Shoujo,Fall 1981,Saturdays at 18:00 (JST)
111,Hula Fulla Dance,,6.28,8776,8066,4,Movie,1,Finished Airing,"Dec 3, 2021","Aniplex,       Fuji TV","None found, add some",Bandai Namco Pictures,Original,Performing Arts,1 hr. 48 min.,PG-13 - Teens 13 or older,4,,,,
112,Ingress the Animation,,6.28,4114,8067,29,TV,11,Finished Airing,"Oct 18, 2018 to Dec 27, 2018","Fuji TV,       NIANTIC",Sentai Filmworks,Craftar Studios,Game,Strategy Game,23 min. per ep.,R - 17+ (violence & profanity),41,"Action, Mystery, Sci-Fi",,Fall 2018,Thursdays at 00:55 (JST)
113,12-sai. 2nd Season,,6.27,7957,8068,5,OVA,4,Finished Airing,"Jul 3, 2015 to Dec 1, 2015",Half H.P Studio,"None found, add some",SynergySP,Manga,School,13 min. per ep.,PG - Children,5,Romance,Shoujo,,
114,Arifureta Shokugyou de Sekai Saikyou 2nd Season Picture Drama,Arifureta: From Commonplace to World's Strongest Season 2 Picture Drama,6.27,9952,8069,3,ONA,12,Finished Airing,"Jan 13, 2022 to Mar 31, 2022","None found, add some","None found, add some","None found, add some",Light novel,,1 min. per ep.,PG-13 - Teens 13 or older,1,"Comedy, Fantasy",,,
115,Avengers Confidential: Black Widow to Punisher,Marvel Avengers Confidential: Black Widow & Punisher,6.27,7798,8070,6,Movie,1,Finished Airing,"Mar 11, 2014",Sony Pictures Entertainment,Marvel Entertainment,Madhouse,Other,,1 hr. 22 min.,PG-13 - Teens 13 or older,8,"Action, Sci-Fi",,,
116,Catman Series III,,6.27,11697,8072,1,TV,6,Finished Airing,"Mar 1, 2008 to Apr 2008",Fuji TV,"None found, add some","None found, add some",Original,Anthropomorphic,4 min. per ep.,PG-13 - Teens 13 or older,3,"Comedy, Fantasy, Slice of Life",,Spring 2008,Unknown
117,Boogiepop and Others: Promotional Trailer,,6.27,14928,8071,676,ONA,1,Finished Airing,"Sep 4, 2018","None found, add some","None found, add some","None found, add some",Light novel,Super Power,1 min.,R - 17+ (violence & profanity),0,"Action, Supernatural",,,
118,Cats Run,,6.27,19634,8073,247,ONA,1,Finished Airing,2012,"None found, add some","None found, add some",Studio Nuck,Original,,10 min.,G - All Ages,0,"Adventure, Comedy",,,
119,Chocolat no Mahou,The Magic of Chocolate,6.27,6713,8074,9,OVA,13,Finished Airing,"Mar 3, 2011 to Jan 19, 2013","None found, add some","None found, add some",SynergySP,Manga,,13 min. per ep.,PG-13 - Teens 13 or older,25,"Drama, Supernatural",Shoujo,,
120,Chou Dendou Robo Tetsujin 28-gou FX,,6.27,11904,8075,1,TV,47,Finished Airing,"Apr 5, 1992 to Mar 30, 1993","None found, add some",Discotek Media,Tokyo Movie Shinsha,Unknown,Mecha,24 min. per ep.,G - All Ages,2,"Action, Adventure, Sci-Fi",,Spring 1992,Unknown
121,Chouon Senshi Borgman,Sonic Soldier Borgman,6.27,9307,8076,3,TV,35,Finished Airing,"Apr 13, 1988 to Dec 21, 1988","Yomiko Advertising,       TOHO,       Nippon Television Network","None found, add some",Ashi Productions,Other,Mythology,24 min. per ep.,PG-13 - Teens 13 or older,7,"Action, Sci-Fi",,Spring 1988,Unknown
122,Cyborg 009 VS Devilman,,6.27,5462,8077,14,OVA,3,Finished Airing,"Nov 11, 2015","Lantis,       Half H.P Studio","None found, add some","Actas,       Bee Media",Manga,"Mythology, Super Power",31 min. per ep.,R - 17+ (violence & profanity),15,"Action, Sci-Fi, Supernatural",Shounen,,
123,Denkou Chou Tokkyuu Hikarian,,6.27,13381,8078,1,TV,52,Finished Airing,"Apr 7, 2002 to Mar 30, 2003","TV Tokyo,       Tokyo Kids","None found, add some","None found, add some",Unknown,,25 min. per ep.,G - All Ages,2,"Action, Adventure",Kids,Spring 2002,Unknown
124,Dr. Slump Movie 01: Arale-chan Hello! Fushigi Shima,Dr. Slump and Arale-chan: Hello! Wonder Island,6.27,10405,8079,2,Movie,1,Finished Airing,"Jul 18, 1981","None found, add some",Discotek Media,Toei Animation,Manga,Gag Humor,25 min.,PG-13 - Teens 13 or older,0,"Comedy, Sci-Fi",Shounen,,
125,Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou,Dr. Slump and Arale-chan: Hoyoyo! The Treasure of Nanaba Castle,6.27,11319,8080,2,Movie,1,Finished Airing,"Dec 22, 1984","None found, add some",Discotek Media,Toei Animation,Manga,Gag Humor,48 min.,PG-13 - Teens 13 or older,1,"Comedy, Sci-Fi",Shounen,,
126,Fabre-sensei wa Meitantei,Dr. Fabre is a Detective,6.27,12705,8081,1,TV,26,Finished Airing,"Apr 11, 2000 to Oct 17, 2000",Enoki Films,"None found, add some",E&G Films,Book,,25 min. per ep.,PG - Children,2,Mystery,,Spring 2000,Tuesdays at 18:30 (JST)
127,Fireball Special,,6.27,10415,8082,2,Special,1,Finished Airing,"Aug 19, 2009",Jinnis Animation Studios,"None found, add some","None found, add some",Original,,3 min.,G - All Ages,1,"Comedy, Sci-Fi",,,
128,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,Scary High School Rumors,6.27,10634,8083,2,TV,35,Finished Airing,"Aug 15, 1994 to Dec 29, 1995","Fuji TV,       Amuse","None found, add some",Group TAC,Unknown,,5 min. per ep.,PG-13 - Teens 13 or older,8,Horror,,Summer 1994,Not scheduled once per week
129,Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,Legend of the Galactic Heroes: Golden Wings,6.27,5426,8084,15,Movie,1,Finished Airing,"Dec 12, 1992","Kitty Films,       Magic Capsule,       Tokuma Shoten,       Tokuma Japan",Sentai Filmworks,Magic Bus,Novel,"Adult Cast, Military, Space",59 min.,PG-13 - Teens 13 or older,8,"Action, Drama, Sci-Fi",,,
130,Gokujou!! Mecha Mote Iinchou Second Collection,The Best!! Extremely Cool Student Council President Second Collection,6.27,9841,8085,3,TV,51,Finished Airing,"Apr 3, 2010 to Apr 10, 2011","TV Tokyo,       Shogakukan-Shueisha Productions","None found, add some",Shogakukan Music & Digital Entertainment,Manga,School,24 min. per ep.,PG - Children,4,"Comedy, Romance",Shoujo,Spring 2010,Unknown
131,Guskou Budori no Denki (2012),The Life of Budori Gusuko,6.27,7484,8086,6,Movie,1,Finished Airing,"Jul 7, 2012","Bandai Visual,       Dentsu,       Asahi Shimbun,       BS11,       Visual Vision,       Rironsha,       Media Do,       Studio Elle,       BS NTV",Sentai Filmworks,Tezuka Productions,Novel,Anthropomorphic,1 hr. 45 min.,G - All Ages,14,"Award Winning, Drama, Fantasy, Slice of Life",Kids,,
132,"Hachi-nan tte, Sore wa Nai deshou!",The 8th son? Are you kidding me?,6.27,1016,8087,240,TV,12,Finished Airing,"Apr 2, 2020 to Jun 18, 2020","Satelight,       Frontier Works,       flying DOG,       Kadokawa Media House,       Exa International,       Kadokawa,       GREE,       arma bianca",Crunchyroll,"SynergySP,       Shin-Ei Animation",Light novel,"Isekai, Reincarnation",23 min. per ep.,PG-13 - Teens 13 or older,494,"Action, Fantasy",,Spring 2020,Thursdays at 21:00 (JST)
133,Jankenman,,6.27,13970,8088,902,TV,51,Finished Airing,"Apr 4, 1991 to Mar 26, 1992","TV Tokyo,       Ashi Productions,       Big West","None found, add some","None found, add some",Original,Super Power,25 min. per ep.,PG - Children,1,Adventure,,Spring 1991,Unknown
134,Kaitou Lupin: 813 no Nazo,,6.27,13374,8089,1,TV Special,1,Finished Airing,"May 5, 1979",Fuji TV,"None found, add some",Tatsunoko Production,Unknown,,1 hr. 20 min.,PG-13 - Teens 13 or older,1,Mystery,,,
135,Kakumei no Wakaki Sora,,6.27,14885,8090,681,OVA,1,Finished Airing,2010,Shinano Kikaku,"None found, add some","None found, add some",Unknown,Historical,50 min.,G - All Ages,0,Drama,,,
136,"Kanojo, Okarishimasu 2nd Season: Kanokari Call",Rent-a-Girlfriend Season 2: Kanokari Call,6.27,10072,8091,3,Special,24,Finished Airing,"Oct 26, 2022 to Jan 25, 2023","None found, add some","None found, add some",TMS Entertainment,Manga,,50 sec. per ep.,PG-13 - Teens 13 or older,19,"Comedy, Romance",,,
137,Konbini Kareshi,Convenience Store Boy Friends,6.27,2098,8093,99,TV,12,Finished Airing,"Jul 7, 2017 to Sep 29, 2017","VAP,       Dentsu,       TBS,       chara-ani.com,       Pierrot Plus,       Being,       Gzbrain,       Cocoro Free,       Tosho Printing",Funimation,Pierrot,Mixed media,,24 min. per ep.,PG-13 - Teens 13 or older,141,Romance,,Summer 2017,Fridays at 01:58 (JST)
138,Kishin Heidan,Kishin Corps,6.27,10165,8092,2,OVA,7,Finished Airing,"Mar 25, 1993 to Aug 25, 1994",Pioneer LDC,"None found, add some",AIC,Novel,"Historical, Mecha",33 min. per ep.,PG-13 - Teens 13 or older,2,"Adventure, Sci-Fi",,,
139,Koukaku Kidoutai Arise [.jp],,6.27,8439,8094,5,Special,1,Finished Airing,"Nov 14, 2013","None found, add some","None found, add some",Production I.G,Manga,,3 min.,R - 17+ (violence & profanity),9,Action,,,
140,Koutetsu Tenshi Kurumi 2,Steel Angel Kurumi 2,6.27,5864,8095,12,TV,12,Finished Airing,"Apr 12, 2001 to Jun 28, 2001","m.o.e.,       Pony Canyon",ADV Films,OLM,Original,Mecha,15 min. per ep.,R+ - Mild Nudity,13,"Comedy, Girls Love, Sci-Fi",,Spring 2001,Unknown
141,Kudan,,6.27,16900,8096,431,Movie,1,Finished Airing,2008,"None found, add some","None found, add some","None found, add some",Unknown,,9 min.,PG - Children,0,"Award Winning, Fantasy",,,
142,Little Charo,,6.27,14572,8097,755,TV,50,Finished Airing,"Apr 2, 2008 to Mar 25, 2009",NHK,"None found, add some",Spooky graphic,Original,Educational,5 min. per ep.,G - All Ages,0,Slice of Life,,Spring 2008,Wednesdays at 19:45 (JST)
143,Mao Zhi Ming Specials,,6.27,15674,8098,558,ONA,5,Finished Airing,"Feb 10, 2022 to Mar 10, 2022","None found, add some","None found, add some","None found, add some",Manga,,5 min. per ep.,G - All Ages,2,Comedy,,,
