,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
91,Trapp Ikka Monogatari Specials,,6.31,15295,7865,615,TV Special,2,Finished Airing,Jun 2001,,,Bandai Visual,"None found, add some",Nippon Animation,Unknown,"Drama, Romance","Childcare, Historical, Music",45 min. per ep.,G - All Ages,0,
92,Triage X,,6.31,1431,7866,165,TV,10,Finished Airing,"Apr 9, 2015 to Jun 11, 2015",Spring 2015,Thursdays at 01:05 (JST),"DAX Production,       Nippon Columbia,       Kadokawa",Sentai Filmworks,Xebec,Manga,"Action, Adventure, Ecchi",,23 min. per ep.,R+ - Mild Nudity,302,Shounen
93,Usavich Special,,6.31,11254,7868,2,Special,1,Finished Airing,"Oct 31, 2008",,,"None found, add some","None found, add some",Kanaban Graphics,Original,"Adventure, Comedy",,1 min.,G - All Ages,0,
94,Twilight Q,,6.31,6974,7867,8,OVA,2,Finished Airing,"Feb 28, 1987 to Aug 28, 1987",,,"None found, add some","None found, add some","Ajia-do,       Studio Deen",Original,"Mystery, Sci-Fi",Psychological,30 min. per ep.,PG-13 - Teens 13 or older,8,
95,Warau Salesman Dai SP-banashi,,6.31,14368,7869,806,Special,8,Finished Airing,"Jan 23, 1990 to Jul 7, 1992",,,"None found, add some","None found, add some",Shin-Ei Animation,Manga,"Comedy, Drama, Supernatural","Adult Cast, Psychological",30 min. per ep.,PG-13 - Teens 13 or older,0,Seinen
96,Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,,6.31,8065,7870,5,OVA,4,Finished Airing,"Dec 26, 2007 to Mar 26, 2008",,,Starchild Records,"None found, add some",Chaos Project,Manga,"Comedy, Ecchi",,26 min. per ep.,R+ - Mild Nudity,8,
97,100-man no Inochi no Ue ni Ore wa Tatteiru Recap,,6.31,10250,7871,2,TV Special,1,Finished Airing,"Jul 2, 2021",,,"None found, add some","None found, add some",Maho Film,Manga,"Action, Drama, Fantasy, Suspense","Isekai, Survival",24 min.,PG-13 - Teens 13 or older,3,Shounen
98,Aoi Hitomi no Onnanoko no Ohanashi,,6.31,13841,7872,937,TV Special,1,Finished Airing,"Aug 13, 2009",,,TV Asahi,"None found, add some",Shin-Ei Animation,Novel,Drama,Historical,44 min.,PG - Children,0,
99,Aru Tabibito no Nikki Specials,A Traveller's Diary Specials,6.31,7097,7873,7,Special,3,Finished Airing,"Feb 11, 2006",,,Robot Communications,"None found, add some","None found, add some",Original,"Adventure, Fantasy",,4 min. per ep.,G - All Ages,5,
100,Buta no Liver wa Kanetsu Shiro,Butareba -The Story of a Man Who Turned into a Pig-,6.31,3526,7874,40,TV,12,Finished Airing,"Oct 8, 2023 to Feb 6, 2024",Fall 2023,Sundays at 00:30 (JST),"Aniplex,       BS11,       Kadokawa","None found, add some",Project No.9,Light novel,"Adventure, Fantasy",Isekai,24 min. per ep.,PG-13 - Teens 13 or older,88,
101,Chinmoku no Kantai,Silent Service,6.31,10356,7876,2,OVA,3,Finished Airing,"Dec 18, 1995 to Jan 25, 1998",,,"None found, add some",Central Park Media,Sunrise,Manga,"Action, Drama",Military,30 min. per ep.,PG-13 - Teens 13 or older,5,Seinen
102,Cinderella Girls Gekijou 2nd Season Specials,,6.31,11409,7877,2,Special,3,Finished Airing,"Nov 29, 2017 to Jan 24, 2018",,,"None found, add some","None found, add some","Gathering,       Lesprit",4-koma manga,"Comedy, Slice of Life",,2 min. per ep.,PG-13 - Teens 13 or older,0,
103,ChäoS;Child,,6.31,1693,7875,133,TV,12,Finished Airing,"Jan 11, 2017 to Mar 29, 2017",Winter 2017,Wednesdays at 23:30 (JST),"AT-X,       MAGES.,       Glovision,       5pb.,       Kadokawa","Funimation,       Crunchyroll",SILVER LINK.,Visual novel,"Mystery, Sci-Fi, Supernatural","Gore, Psychological",23 min. per ep.,R - 17+ (violence & profanity),219,
104,Cinderella Girls Gekijou Specials,THE IDOLM@STER CINDERELLA GIRLS Theater,6.31,10395,7878,2,Special,2,Finished Airing,"Jun 28, 2017 to Jul 26, 2017",,,"None found, add some","None found, add some","Gathering,       Lesprit",4-koma manga,"Comedy, Slice of Life",,2 min. per ep.,PG-13 - Teens 13 or older,0,
105,Code Geass: Hangyaku no Lelouch Picture Drama - Kiseki no Anniversary,Code Geass: Lelouch of the Rebellion Picture Drama - A Miraculous Anniversary,6.31,7140,7879,7,Special,1,Finished Airing,"Apr 21, 2017",,,"None found, add some","None found, add some",Sunrise,Original,Slice of Life,School,16 min.,PG-13 - Teens 13 or older,1,
106,Di Gi Charat: Kuchi Kara Bazooka,,6.31,10363,7880,2,Special,1,Finished Airing,"Jul 12, 2002",,,"None found, add some","None found, add some",Madhouse,Original,Comedy,,13 min.,PG-13 - Teens 13 or older,1,
107,"Evangelion Shito, Hakata Shuurai",Evangelion: Hakata - Angel Attack Alternative,6.31,8752,7881,4,Movie,1,Finished Airing,"Jun 7, 2019",,,"None found, add some","None found, add some",Khara,Original,"Action, Sci-Fi",Mecha,7 min.,PG-13 - Teens 13 or older,8,
108,Fei Ren Xueyuan,Non-Human Academy,6.31,9573,7882,3,ONA,1,Finished Airing,"Jun 25, 2018",,,"None found, add some","None found, add some","None found, add some",Game,Action,Video Game,3 min.,PG-13 - Teens 13 or older,35,
109,Final Fantasy: The Spirits Within,,6.31,2589,7883,71,Movie,1,Finished Airing,"Jul 2, 2001",,,"Square Enix,       Sony Music Entertainment","None found, add some",Square Pictures,Game,Sci-Fi,,1 hr. 45 min.,PG-13 - Teens 13 or older,55,
110,Gene Diver,,6.31,13095,7885,1,TV,56,Finished Airing,"Apr 4, 1994 to Jan 24, 1995",Spring 1994,Unknown,"NHK,       Studio Junio","None found, add some","None found, add some",Original,"Action, Adventure, Fantasy, Sci-Fi",Historical,15 min. per ep.,PG - Children,1,
111,Genbanojou,,6.31,12877,7884,1,Movie,1,Finished Airing,"Mar 11, 2017",,,"None found, add some","None found, add some",Nippon Animation,Original,,,24 min.,G - All Ages,0,
112,Gundam Build Divers,,6.31,3995,7886,31,TV,25,Finished Airing,"Apr 3, 2018 to Sep 25, 2018",Spring 2018,Tuesdays at 17:55 (JST),"TV Tokyo,       Sotsu","None found, add some",Sunrise,Original,"Action, Sci-Fi",Mecha,24 min. per ep.,G - All Ages,49,
113,Helen Keller Monogatari: Ai to Hikari no Tenshi,The Story of Hellen Keller: Angel of Love and Light,6.31,13555,7888,1,TV Special,1,Finished Airing,"May 5, 1981",,,TV Asahi,"None found, add some","None found, add some",Unknown,Drama,Historical,1 hr. 12 min.,G - All Ages,1,
114,Gyakuten Sekai no Denchi Shoujo,Rumble Garanndoll,6.31,4738,7887,21,TV,12,Finished Airing,"Oct 11, 2021 to Dec 27, 2021",Fall 2021,Mondays at 23:00 (JST),"Studio Hibari,       Lantis,       AT-X,       Tokyo MX,       BS11,       Egg Firm,       Quaras,       Kadokawa,       Bandai Namco Arts,       MAGNET,       Scarlet",Funimation,Lerche,Original,"Action, Comedy, Sci-Fi",Mecha,23 min. per ep.,PG-13 - Teens 13 or older,52,
115,Hi no Youjin,Combustible,6.31,6896,7889,8,Movie,1,Finished Airing,"Jun 4, 2012",,,"None found, add some",Sentai Filmworks,Sunrise,Original,"Award Winning, Slice of Life",Historical,12 min.,PG-13 - Teens 13 or older,2,
116,Hikaru no Go: Memories,,6.31,13287,7890,1,OVA,1,Finished Airing,"Jun 30, 2004",,,"None found, add some","None found, add some",Pierrot,Manga,"Comedy, Supernatural",Strategy Game,1 hr. 20 min.,PG-13 - Teens 13 or older,0,Shounen
117,Himawari!,,6.31,4452,7891,24,TV,13,Finished Airing,"Apr 9, 2006 to Jul 2, 2006",Spring 2006,Sundays at 00:30 (JST),"Genco,       Starchild Records,       Tohokushinsha Film Corporation",Maiden Japan,Arms,Original,"Adventure, Comedy",Martial Arts,24 min. per ep.,PG-13 - Teens 13 or older,16,
118,Island,,6.31,1707,7892,133,TV,12,Finished Airing,"Jul 1, 2018 to Sep 16, 2018",Summer 2018,Sundays at 22:00 (JST),"MAGES.,       Crunchyroll,       Yomiuri TV Enterprise,       Top Marshal,       Front Wing",Funimation,feel.,Visual novel,"Drama, Romance, Sci-Fi","Harem, Time Travel",23 min. per ep.,PG-13 - Teens 13 or older,376,
119,1001 Nights,,6.30,5405,7893,15,Movie,1,Finished Airing,"Apr 24, 1999",,,"None found, add some","None found, add some","None found, add some",Other,"Avant Garde, Fantasy, Romance",Mythology,24 min.,R+ - Mild Nudity,57,
120,Actors: Songs Connection,,6.30,5020,7894,18,TV,12,Finished Airing,"Oct 6, 2019 to Dec 22, 2019",Fall 2019,Sundays at 23:30 (JST),"Sotsu,       Pony Canyon,       AT-X,       Nippon Television Network,       Tokyo MX,       JY Animation",Funimation,Drive,Music,,"Music, School",23 min. per ep.,PG-13 - Teens 13 or older,78,
121,Anklet to Aoi Umi,Memory of Blue,6.30,17186,7896,409,Movie,1,Finished Airing,"Sep 27, 2018",,,Tamabi,"None found, add some",Studio Himalaya,Original,Fantasy,,6 min.,G - All Ages,0,
122,Ancien to Mahou no Tablet: Mou Hitotsu no Hirune Hime,Ancien and the Magic Tablet: Another Story,6.30,9672,7895,3,ONA,2,Finished Airing,"Mar 10, 2017 to Mar 17, 2017",,,"None found, add some","None found, add some",Signal.MD,Original,"Drama, Fantasy",,12 min. per ep.,G - All Ages,3,
123,Arslan Senki (TV): Fuujin Ranbu - Arsen 4-koma Gekijou,,6.30,8590,7897,4,Special,4,Finished Airing,"Sep 7, 2016 to Dec 7, 2016",,,"None found, add some","None found, add some",LIDENFILMS,Manga,Comedy,,1 min. per ep.,PG-13 - Teens 13 or older,4,
124,Ayakashi,,6.30,4104,7898,29,TV,12,Finished Airing,"Dec 12, 2007 to Feb 27, 2008",Winter 2008,Wednesdays at 11:00 (JST),"Media Factory,       AT-X,       Enoki Films,       5pb.",Discotek Media,Tokyo Kids,Visual novel,"Action, Fantasy, Horror, Sci-Fi","Gore, Super Power",23 min. per ep.,R - 17+ (violence & profanity),24,
125,B-Legend! Battle B-Daman,Battle B-Daman,6.30,5610,7899,14,TV,52,Finished Airing,"Jan 5, 2004 to Dec 27, 2004",Winter 2004,Mondays at 18:00 (JST),"TV Tokyo,       Yomiko Advertising,       d-rights,       Heewon Entertainment",Hasbro,Nippon Animation,Manga,"Adventure, Fantasy",Strategy Game,22 min. per ep.,PG - Children,28,Kids
126,B-Project: Netsuretsu*Love Call,B-Project: Passion*Love Call,6.30,8230,7900,5,TV,12,Finished Airing,"Oct 2, 2023 to Dec 18, 2023",Fall 2023,Mondays at 21:30 (JST),"MediaNet,       AT-X,       MAGES.,       BS NTV,       Kadokawa,       Marui Group,       Pia","None found, add some",Asahi Production,Mixed media,,"Idols (Male), Music",23 min. per ep.,PG-13 - Teens 13 or older,29,
127,Chang Jian Feng Yun,"Long Sword, Wind and Cloud",6.30,13491,7902,1,ONA,10,Finished Airing,"Jan 22, 2021 to Mar 19, 2021",,,bilibili,"None found, add some",Xuni Ying Ye,Original,"Action, Drama",,19 min. per ep.,PG-13 - Teens 13 or older,4,
128,Bannou Bunka Neko-Musume DASH!,All Purpose Cultural Cat Girl Nuku Nuku Dash!,6.30,7781,7901,6,OVA,12,Finished Airing,"Sep 23, 1998 to Dec 23, 1998",,,Movic,"ADV Films,       Discotek Media",Ashi Productions,Manga,"Action, Comedy, Romance, Sci-Fi, Ecchi",,24 min. per ep.,R - 17+ (violence & profanity),10,
129,Cluster Edge,,6.30,6137,7904,11,TV,25,Finished Airing,"Oct 5, 2005 to Mar 29, 2006",Fall 2005,Wednesdays at 01:00 (JST),"Bandai Visual,       Imagine",Sentai Filmworks,Sunrise,Original,"Action, Fantasy, Sci-Fi",Military,24 min. per ep.,PG-13 - Teens 13 or older,14,
130,Cinderella Boy,,6.30,7118,7903,7,TV,13,Finished Airing,"Jun 21, 2003 to Sep 13, 2003",Summer 2003,Saturdays at 10:30 (JST),"None found, add some",Discotek Media,Magic Bus,Manga,"Action, Adventure, Comedy, Mystery",Magical Sex Shift,25 min. per ep.,PG-13 - Teens 13 or older,9,Seinen
